"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",1e-10,9.17857142857143e-09,NA,0.652598498682687,3.54805675636667,38,"RPS17;RPS27;RPS18;RPS2;RPS29;RPS19;RPS14;RPS6;RPS20;RPS12;RPS25;RPS23;RPS15A;RPS4X;RPS28;RPS15;RPS24;RPS13;RPS27A;RPS3;RPS3A;RPS8;RPS16;RPS5;EIF4EBP1;RPS26;RPS9;RPS21"
"2","Allograft rejection",3.38512930051562e-05,0.00173995646046503,0.557332238758646,0.667526329515492,2.59365300052783,14,"HLA-DRA;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRB5;HLA-DQA1;HLA-DQB1;HLA-B;HLA-DMA"
"3","Alzheimer's disease",1.37641313627076e-09,1.10543180006746e-07,0.788186810800237,0.570200882670965,3.06437039739049,39,"ATP5E;ATP5G2;ATP5G3;ATP5O;ATP5J;ATP5D;ATP5H;APOE;ATP5B;ATP5C1;LPL;ATP5F1;ATP5A1;ATP5G1"
"4","Antigen processing and presentation",1.67398864013345e-07,1.10143158515942e-05,0.690132458796796,0.568092586183929,2.82099570119739,31,"HSPA1B;HSPA1A;CD74;HLA-DRA;HLA-DRB1;B2M;HLA-DPB1;HLA-DPA1;HSPA6;HLA-DRB5;HLA-DQA1;HSP90AA1;HLA-DQB1"
"5","Arachidonic acid metabolism",0.000575703036888348,0.0211365257829008,0.477270815362862,0.846855983772819,2.16058457037122,5,"GPX1;LTA4H;GPX3;HPGDS;AKR1C3"
"6","Asthma",1.71429040491739e-07,1.10143158515942e-05,0.690132458796796,0.838901057333808,2.87571569387223,10,"HLA-DRA;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRB5;HLA-DQA1;HLA-DQB1;FCER1G;HLA-DMA"
"7","Autoimmune thyroid disease",3.38512930051562e-05,0.00173995646046503,0.557332238758646,0.667526329515492,2.59365300052783,14,"HLA-DRA;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRB5;HLA-DQA1;HLA-DQB1;HLA-B;HLA-DMA"
"8","Cap-dependent translation initiation",1e-10,9.17857142857143e-09,NA,0.691009699204681,4.03082262287636,51,"RPL13A;RPLP2;RPL27A;RPL31;RPL41;RPLP1;RPL21;RPL34;RPL7;RPL10;RPL39;RPL36A;RPL13;RPL32;RPL12;RPL26;RPL35;RPL18A;RPL37A;RPL23A;RPL38;RPL28;RPL11;RPL36;RPL3;RPL27;RPL9;RPL10A;RPL19;RPL35A;RPL15;UBA52;RPL4;RPL14;RPL17;RPL8;RPL37;RPL22"
"9","Chemiosmotic coupling formation of ATP",1e-10,9.17857142857143e-09,NA,0.944501018329939,3.58119548696219,13,"ATP5E;ATP5L;ATP5J2;ATP5I;ATP5O;ATP5J;ATP5D;ATP5H;ATP5B;ATP5C1;ATP5F1;ATP5A1;ATP5G1"
"10","Cytoplasmic ribosomal proteins",1e-10,9.17857142857143e-09,NA,0.745314186860159,4.84317711779575,78,"RPS17;RPL13A;RPLP2;RPL27A;RPL31;RPL41;RPLP1;RPL21;RPL34;RPS27;RPS18;RPL7;RPL10;RPS2;RPL39;RPL36A;RPS29;RPS19;RPL13;RPL32;RPS14;RPS6;RPS20;RPL12;RPL26;RPL35;RPL18A;RPL37A;RPS12;RPS25;RPS23;RPL23A;RPS15A;RPS4X;RPS28;RPL38;RPS15;RPS24;RPS13;RPL28;RPL11;RPL36;RPL3;RPL27;RPS27A;RPS3;RPS3A;RPL9;RPS8;RPL10A;RPL19;RPL35A;RPL15;RPS16;RPS5;UBA52;RPL4;RPL14;RPL17;RPL8;RPL37;RPL22;RPS26;RPS9;RPL6;RPS21"
