pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Interferon alpha/beta signaling,1.00E-10,1.18E-08,NA,0.673030059,3.301231949,43,STAT1;XAF1;MX1;IFIT3;OAS1;IFI27;OAS2;HLA-F;IRF1;IFI35;IFIT2;IFIT1;OAS3;STAT2;ISG20;IRF7;PSMB8;PTPN1;ADAR;ISG15;GBP2;MX2;IFITM3;IFNAR2;IRF8;SOCS1
Interferon signaling,1.00E-10,1.18E-08,NA,0.47868086,2.871154127,99,STAT1;GBP5;GBP1;XAF1;GBP4;MX1;IFIT3;OAS1;IFI27;OAS2;HLA-F;IRF1;IFI35;EIF2AK2;IFIT2;IFIT1;OAS3;STAT2;ISG20;HERC5;IRF7;PSMB8;CIITA;PML;PTPN1;ADAR;ISG15;GBP2;MX2;PTPN2;EIF4G1;UBE2L6;IFITM3;JAK2;DDX58;IFNAR2;FCGR1A;IRF8;SOCS1;TPR;NUP62;KPNA3;USP18
Type II interferon signaling (interferon-gamma),2.55E-08,2.00E-06,0.733761988,0.665131737,2.802259032,26,STAT1;CXCL10;GBP1;TAP1;OAS1;PSMB9;IRF1;EIF2AK2;IFIT2;STAT2;CXCL9;CIITA;ISG15;JAK2;IRF8;SOCS1
"Immune system signaling by interferons, interleukins, prolactin, and growth hormones",9.08E-08,6.42E-06,0.704975715,0.369611248,2.394251926,142,STAT1;GBP5;GBP1;XAF1;GBP4;MX1;IFIT3;OAS1;IFI27;OAS2;HLA-F;IRF1;IFI35;EIF2AK2;IFIT2;IFIT1;OAS3;STAT2;ISG20;HERC5;IRF7;PSMB8;CIITA;PML;PTPN1;ADAR;ISG15;GBP2;MX2;PTPN2;EIF4G1;UBE2L6;IFITM3;JAK2;DDX58;CUL1;PIK3R1;IFNAR2;FCGR1A;IRF8;SOCS1;TPR;IL6ST;NUP62;KPNA3;USP18
Licensing factor removal from origins,3.85E-05,0.001511535,0.557332239,0.492832574,2.296504121,35,PSMB9;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;PSMD2;PSMB7;PSMC2;PSMD11;PSMC5;PSMB6;PSMD12;PSMD13;PSMD3;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1
Autodegradation of Cdh1 by Cdh1-APC/C,5.78E-05,0.002149578,0.557332239,0.467493826,2.254079182,39,PSMB9;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;PSMD2;PSMB7;PSMC2;PSMD11;PSMC5;PSMB6;PSMD12;PSMD13;ANAPC5;PSMD3;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1
Interferon-gamma signaling pathway,0.000127875,0.003766993,0.518848078,0.396902075,2.146199367,61,STAT1;GBP5;GBP1;GBP4;OAS1;OAS2;HLA-F;IRF1;OAS3;IRF7;CIITA;PML;PTPN1;GBP2;PTPN2;MAP3K1;JAK2;PIK3R1;FCGR1A;IRF8;SOCS1
Cyclin A-Cdk2-associated events at S phase entry,0.000441132,0.009746268,0.498493109,0.422758146,2.085350145,44,PSMB9;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;CDKN1A;PSMD2;PSMB7;CUL1;RB1;PSMC2;PSMD11;PSMC5;PSMB6;PSMD12;PSMD13;PSMD3;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1;PSMC1;MAX
Interferon gamma signaling regulation,0.000719753,0.014135141,0.477270815,0.697503223,2.07232152,9,STAT1;PTPN1;PTPN2;JAK2;SOCS1
DNA replication pre-Initiation,0.000813397,0.015542482,0.477270815,0.421687973,2.060822584,42,PSMB9;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;CDKN1A;PSMD2;PSMB7;RB1;PSMC2;PSMD11;PSMC5;PSMB6;PSMD12;PSMD13;PSMD3;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1
Interferon alpha signaling regulation,0.000857014,0.016157574,0.477270815,0.629173956,2.015290827,11,STAT1;STAT2;PTPN1;IFNAR2;SOCS1;USP18
Ubiquitin-mediated degradation of phosphorylated Cdc25A,0.001330681,0.022136262,0.455059867,0.410132216,2.004348686,42,PSMB9;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;PSMD2;ATM;PSMB7;CUL1;PSMC2;PSMD11;PSMC5;PSMB6;PSMD12;PSMD13;PSMD3;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1
Apoptosis regulation,0.001429873,0.023239545,0.455059867,0.394720795,2.003035543,47,PSMB9;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;APPL1;CDKN1A;PSMD2;ATM;PSMB7;MDM2;PSMC2;PSMD11;PSMC5;PSMB6;PSMD12;PSMD13;PSMD3;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1
S phase,0.00161141,0.025601502,0.455059867,0.387969492,1.996009389,49,PSMB9;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;CDKN1A;PSMD2;PSMB7;CUL1;RB1;PSMC2;PSMD11;PSMC5;PSMB6;PSMD12;PSMD13;PSMD3;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1;RFC1;PSMC1;MAX
Degradation of beta-catenin by the destruction complex,0.000907063,0.01665698,0.477270815,0.386253962,1.980791293,48,PSMB9;CD4;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;PSMD2;PSMB7;CUL1;PSMC2;PSMD11;PSMC5;PSMB6;PSMD12;PSMD13;PSMD3;APC;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1
Cell cycle checkpoints,0.001658398,0.026055279,0.455059867,0.37676807,1.975556928,53,PSMB9;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;CDKN1A;PSMD2;ATM;PSMB7;MDM2;PSMC2;PSMD11;PSMC5;PSMB6;PSMD12;PSMD13;ANAPC5;PSMD3;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1;MAD1L1
Antigen processing: cross presentation,0.001798022,0.027634815,0.455059867,0.369876614,1.947371204,54,TAP1;PSMB9;HLA-F;CD36;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;TAP2;PSMD2;PSMB7;FCGR1A;SEC61A1;PSMC2;PSMD11;PSMC5;PSMB6;LNPEP;PSMD12;PSMD13;PSMD3;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1;PSMC1;NCF1;NCF4;TAPBP;ITGAV
Antiviral mechanism by interferon-stimulated genes,0.002831222,0.039114568,0.431707696,0.39701283,1.947359438,43,STAT1;MX1;EIF2AK2;IFIT1;HERC5;ISG15;MX2;EIF4G1;UBE2L6;DDX58;TPR;NUP62;KPNA3;USP18;EIF4G3
Tryptophan metabolism,0.003005069,0.040857379,0.431707696,0.579314605,1.943233819,13,IL4I1;IDO1;WARS;UBE3A;HADHA;MDM2
APC/C-mediated degradation of cell cycle proteins,0.002322149,0.033303367,0.431707696,0.388321834,1.931480535,45,PSMB9;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;PSMD2;PSMB7;CUL1;PSMC2;PSMD11;PSMC5;PSMB6;PSMD12;PSMD13;ANAPC5;PSMD3;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1
Signaling by the B cell receptor (BCR),0.000898944,0.01665698,0.477270815,0.331824355,1.912021855,83,PSMB9;ITPR2;IGHM;PSME2;PSMB8;IGLC2;PSMB2;PSMA5;PSMD1;CDKN1A;PSMD2;PSMB7;MDM2;CUL1;PIK3R1;PSMC2;PSMD11;PSMC5;IGLC3;PSMB6;PSMD12;PSMD13;NCK1;MAPKAP1;IGKC;DAPP1;PSMD3;GRB2;NRAS;PSMD14;PSMC4;PSMA3;PSMD6;SYK;PSMC3;PSMF1
Proteasome degradation,0.00354051,0.045511646,0.431707696,0.389997149,1.905947016,42,PSMB9;HLA-F;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;PSMD2;PSMB7;PSMC2;PSMD11;PSMC5;PSMB6;PSMD12;PSMD13;PSMD3;PSMC4;PSMA3;PSMD6;PSMC3
Amino acid metabolism,0.003189289,0.042949096,0.431707696,0.35681373,1.890185532,55,PSMB9;IDO1;CNDP2;PSME2;PSMB8;PSMB2;PSMA5;PSMD1;PSMD2;PSMB7;PSMC2;PSMD11;MAT2A;PSMC5;PSMB6;MAT2B;PSMD12;PSMD13;PSMD3;PSMD14;PSMC4;PSMA3;PSMD6;PSMC3;PSMF1;OGDH;PSMC1;GLS
HIV-induced T cell apoptosis,0.001566586,0.025172197,0.455059867,0.914661319,1.835460148,3,CD4;CCR5;FAS
Signaling by VEGF,0.003415284,0.044714918,0.431707696,0.826546843,1.823244244,4,NRP2;VEGFB;NRP1
Neurophilin interactions with VEGF and VEGF receptor,0.003387394,0.044714918,0.431707696,0.953441746,1.609968348,2,NRP2;NRP1
Signaling by GPCR,0.003914196,0.049861923,0.407017919,-0.249583285,-1.78371814,99,CXCL8;CXCL3;CXCL2;CCL3;CCL4;CCL20;CXCL1;RGS2;ANXA1;RGS1;RAC2;NMB;RHOB;CXCL5
Proepithelin conversion to epithelin and wound repair control,0.002078532,0.030937307,0.431707696,-0.913324421,-1.83006279,3,CXCL8;SLPI;GRN
Chemokine signaling pathway,0.002512584,0.03517618,0.431707696,-0.300041147,-1.88552089,69,CXCL8;CXCL3;CXCL2;CCL3;CCL4;CCL20;CCL4L2;CXCL1;CCL3L3;NFKBIA;RAC2;CXCL5
Hematopoietic cell lineage,0.003487004,0.045235081,0.431707696,-0.452675349,-1.928462518,20,HLA-DRA;IL1B;CD9;HLA-DRB1;HLA-DRB5;ANPEP;IL1R1
"Platelet activation, signaling and aggregation",0.000978918,0.017521393,0.455059867,-0.31164028,-1.937008982,66,TMSB4X;FN1;ALDOA;CD9;PFN1;FCER1G;TIMP1;CD63;CFL1;RAC2;PSAP;SERPINA1;RHOB;PPIA;SRGN;RHOA;SPARC;COL1A2;THBS1
IRAK2-mediated activation of TAK1 complex,0.002241811,0.0326796,0.431707696,-0.842371524,-1.946736172,4,UBB;RPS27A;UBA52
Eicosanoid biosynthesis,0.001416477,0.023239545,0.455059867,-0.861728632,-1.991470808,4,ALOX5AP;PTGS2;LTA4H
Activation of PKC through G-protein coupled receptors,0.001171108,0.019713657,0.455059867,-0.866503232,-2.002504995,4,NFKBIA;PRKCB;PRKCA;GNAQ
PPAR signaling pathway,0.002236495,0.0326796,0.431707696,-0.468132352,-2.006315012,19,FABP4;LPL;OLR1;FABP3;FABP5
Epithelial cell signaling in Helicobacter pylori infection,0.001969316,0.029942068,0.431707696,-0.453262961,-2.012082109,22,CXCL8;CXCL1;JUN;NFKBIA;HBEGF;ATP6V1F;MAPK9;MAPK13;MAPK14;ATP6V1A;LYN;ATP6V0A2;CHUK;MAP2K4
Initiation of the second proteolytic cleavage of Notch receptor by receptor-ligand binding,0.00096002,0.017403444,0.477270815,-0.871629151,-2.014351089,4,UBB;RPS27A;UBA52;NOTCH2
Striated muscle contraction,0.000604873,0.012218442,0.477270815,-0.882103856,-2.038558325,4,VIM;ACTG1;TNNI2;TPM3
NOD signaling pathway,0.00239239,0.0338284,0.431707696,-0.387396371,-2.041163618,33,CXCL8;CXCL2;IL1B;CXCL1;HSP90AA1;NFKBIA;TNFAIP3
Free radical-induced apoptosis,0.000532871,0.011245957,0.477270815,-0.885176556,-2.045659392,4,GPX1;CXCL8
Epstein-Barr virus LMP1 signaling,0.002849222,0.039114568,0.431707696,-0.632919907,-2.066123193,9,CXCL8;CCL20;HSP90AA1;PDLIM7
HNF3A pathway,0.003382534,0.044714918,0.431707696,-0.489056107,-2.067884995,18,ATP5J;JUN;FOS;SCGB1A1;SERPINA1;CEBPB;SFTPA2;SFTPA1
p75 neurotrophin receptor signaling via NF-kB,0.000756281,0.014649058,0.477270815,-0.820885414,-2.068951538,5,UBB;NFKBIA;RPS27A;UBA52
Interleukin-11 pathway,0.000256884,0.006372524,0.498493109,-0.899915256,-2.079720802,4,JUN;FOS;TIMP1
Senescence and autophagy,0.001157269,0.019713657,0.455059867,-0.374552598,-2.08983521,41,CXCL8;CCL3;FN1;IL1B;CXCL1;JUN;INHBA;GSN;CEBPB
Pertussis toxin-insensitive CCR5 signaling in macrophage,0.001009631,0.017653618,0.455059867,-0.63380349,-2.120206748,10,CCL4;JUN;FOS;CALM2;PRKCB;PRKCA;GNAQ
Interleukin-7 interactions in immune response,0.00174424,0.027102805,0.455059867,-0.576441903,-2.132314132,13,CXCL8;CXCL3;CXCL2;CXCL1;JUN;CXCL5
G alpha (i) signaling events,0.000698615,0.01391326,0.477270815,-0.454388668,-2.163402574,26,CXCL8;CXCL3;CXCL2;CCL20;CXCL1;ANXA1;RGS1
Iron uptake and transport,0.001061833,0.018310149,0.455059867,-0.703443027,-2.189365657,8,FTL;FTH1
Interleukin-4 regulation of apoptosis,0.000153973,0.004268965,0.518848078,-0.328428449,-2.192962087,78,CXCL8;ALOX5AP;CXCL2;CCL20;FN1;CD9;RGS2;LPL;JUN;INHBA;ANXA1;S100P;FOS;FCER1G;PTGS2;IL1RN;DDIT4;GADD45B;CEBPB
Generation of second messenger molecules,0.001011275,0.017653618,0.455059867,-0.594783713,-2.200162254,13,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DRB5;HLA-DQB2;FYB
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),0.000290578,0.00684796,0.498493109,-0.810390569,-2.20058601,6,UBB;RPS27A;UBA52;FKBP1A;RHOA
Amoebiasis,0.000349972,0.00811246,0.498493109,-0.47030801,-2.209571012,25,CXCL8;FN1;IL1B;CXCL1;HSPB1;IL1R1;COL1A2;COL3A1;RAB5C;PRKCB;PRKCA;GNAQ
Graft-versus-host disease,0.000410992,0.009224498,0.498493109,-0.580346659,-2.222913388,14,HLA-DRA;IL1B;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DRB5;HLA-B
Type 1 diabetes mellitus,0.000410992,0.009224498,0.498493109,-0.580346659,-2.222913388,14,HLA-DRA;IL1B;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DRB5;HLA-B
NF-kappaB activation by non-typeable Hemophilus influenzae,0.000476459,0.01036481,0.498493109,-0.647360486,-2.224954162,11,CXCL8;IL1B;DUSP1;NFKBIA
Downregulation of MTA-3 in ER-negative breast tumors,0.000248727,0.006280367,0.498493109,-0.766247319,-2.236551344,7,ALDOA;CTSD;HSPB1;GAPDH
Shigellosis,0.000559769,0.011639901,0.477270815,-0.443140732,-2.273826078,30,CXCL8;ACTB;PFN1;NFKBIA;ACTG1;ARPC3;ARPC1B;ARPC2;RHOG;UBE2D2;MAPK9;CRKL;ABL1;HCLS1
Corticotropin releasing hormone pathway,9.21E-05,0.002895218,0.538434096,-0.842484709,-2.287736475,6,CXCL8;HSP90AA1;FOS;NR4A2;NR4A1
Viral myocarditis,0.00057532,0.0117899,0.477270815,-0.502604666,-2.288571459,23,HLA-DRA;ACTB;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DRB5;ACTG1;RAC2;HLA-B
Thymic stromal lymphopoietin (TSLP) pathway,0.000204989,0.005468942,0.518848078,-0.394522671,-2.290625966,46,CXCL8;CXCL3;CXCL2;CCL3;CCL4;CCL20;IL1B;CD9;CXCL1;CD83;IL1R1;CXCL5;TNFSF14
Prion diseases,0.000494954,0.010604022,0.477270815,-0.596589976,-2.293914756,15,HSPA1A;IL1B;C1QA;C1QB;C1QC;EGR1
Amyloids,8.02E-05,0.002764331,0.538434096,-0.847308152,-2.300834359,6,B2M;CST3;LYZ;GSN;H3F3A
Cellular response to hypoxia,0.000244297,0.006280367,0.498493109,-0.600738948,-2.301022378,14,TCEB2;TCEB1;UBB;RPS27A;UBA52
Asthma,0.000147612,0.004174477,0.518848078,-0.695933491,-2.328044742,10,HLA-DRA;HLA-DRB1;FCER1G;HLA-DPA1;HLA-DPB1;HLA-DRB5
Cytokine-cytokine receptor interaction,8.89E-05,0.002895218,0.538434096,-0.382155554,-2.345833573,56,CXCL8;CXCL3;CXCL2;CCL3;CCL4;CCL20;IL1B;CCL4L2;CXCL1;INHBA;CCL3L3;IL1R1;IL1RAP;CXCL5;OSM;TNFSF14
RANKL regulation of apoptosis and immune response,0.000289089,0.00684796,0.498493109,-0.485625661,-2.358651761,27,CCL3;MYL6;JUN;ACP5;OAZ1;EGR1;MGP;RPS20;TXN;BAG3;HLA-C
